CATEGORY,START,STOP,MILES,PURPOSE,DRIVER_RATING,FARE_AMOUNT,PASSENGER_COUNT,PAYMENT_METHOD,CAR_TYPE,TRIP_TYPE,TRIP_DATE,YEAR,MONTH_NAME,DAY_OF_WEEK_NAME,DAY_OF_MONTH
Personal,Jamesstad,Jamesstad,5.92,Commute,4.3,34.53,3,Card,Economy,Round-Trip,2021-12-05,2021,December,Sunday,5
Personal,Port Gilbertchester,Port Gilbertchester,0.88,Meeting,4.7,6.41,2,Card,Premium,Round-Trip,2021-12-17,2021,December,Friday,17
Business,East Phillip,Kevinton,29.66,Meal/Entertain,4.8,25.9,4,Uber Credit,Economy,One-Way,2020-06-18,2020,June,Thursday,18
Business,East Paulchester,East Paulchester,12.74,Errand/Supplies,4.2,29.16,1,Card,Economy,Round-Trip,2021-10-01,2021,October,Friday,1
Personal,South Sarahtown,,15.68,Errand/Supplies,4.5,45.41,3,Cash,Economy,Unknown,2020-12-28,2020,December,Monday,28
Personal,Kristiebury,Kristiebury,0.75,Commute,5.6,5.37,1,Uber Credit,SUV,Round-Trip,2020-01-15,2020,January,Wednesday,15
Personal,North Ashley,North Ashley,9.56,Meal/Entertain,5.4,20.29,1,Cash,SUV,Round-Trip,2023-06-04,2023,June,Sunday,4
Business,Markmouth,Markmouth,16.11,Errand/Supplies,4.7,277.6,1,Cash,SUV,Round-Trip,2024-05-26,2024,May,Sunday,26
Business,South Pamelabury,South Pamelabury,3.49,Meeting,4.5,52.01,3,Uber Credit,Premium,Round-Trip,2022-04-21,2022,April,Thursday,21
Personal,New Carlos,New Carlos,18.76,Meeting,4.6,43.58,2,Cash,SUV,Round-Trip,2023-04-02,2023,April,Sunday,2
Business,Riveraberg,Riveraberg,8.99,Errand/Supplies,4.8,28.14,2,Card,SUV,Round-Trip,2025-01-26,2025,January,Sunday,26
Business,Michaelville,Schneiderburgh,12.08,,4.0,17.63,2,Uber Credit,SUV,One-Way,2023-02-06,2023,February,Monday,6
Personal,Port Juliemouth,Port Juliemouth,8.98,Meal/Entertain,4.4,37.11,1,Card,Premium,Round-Trip,2021-08-18,2021,August,Wednesday,18
Business,Kimberlychester,Kimberlychester,33.52,Errand/Supplies,,10.4,3,Card,Economy,Round-Trip,2020-12-07,2020,December,Monday,7
Personal,Port Jacobbury,Port Jacobbury,14.87,Commute,4.7,32.15,1,Uber Credit,SUV,Round-Trip,2020-09-05,2020,September,Saturday,5
Personal,Dorseystad,Dorseystad,4.42,Meal/Entertain,,32.58,2,Cash,Economy,Round-Trip,2021-12-06,2021,December,Monday,6
Personal,Jenniferbury,Jenniferbury,23.23,Meeting,4.3,40.9,2,Card,Economy,Round-Trip,2024-05-13,2024,May,Monday,13
Business,North Tarabury,North Tarabury,2.79,Errand/Supplies,5.3,66.39,3,Card,Economy,Round-Trip,2024-11-27,2024,November,Wednesday,27
Personal,North Lindaview,North Lindaview,17.09,Meal/Entertain,3.9,30.89,1,Card,Economy,Round-Trip,2024-08-02,2024,August,Friday,2
Business,South Amber,East Brianville,-4.6,Meeting,3.8,17.37,4,Uber Credit,SUV,One-Way,2020-04-13,2020,April,Monday,13
Personal,Waltonfort,Waltonfort,1.72,Errand/Supplies,4.6,24.62,4,Cash,Premium,Round-Trip,2021-11-05,2021,November,Friday,5
Business,Josephport,Josephport,16.97,Customer Visit,5.0,1.54,2,Cash,SUV,Round-Trip,2020-06-15,2020,June,Monday,15
Personal,Warrenmouth,Brocktown,22.38,Commute,5.3,14.58,3,Uber Credit,Premium,One-Way,2021-12-02,2021,December,Thursday,2
Personal,New Catherinemouth,New Anthony,16.71,Meeting,4.3,18.86,1,Uber Credit,SUV,One-Way,2021-09-14,2021,September,Tuesday,14
Business,South Micheal,Kingmouth,13.84,Meeting,5.0,17.14,1,Cash,SUV,One-Way,2020-09-29,2020,September,Tuesday,29
Business,Port Stephanie,Port Stephanie,11.99,Customer Visit,4.5,27.29,2,Uber Credit,Economy,Round-Trip,2022-03-05,2022,March,Saturday,5
Business,Port Claudia,Port Claudia,0.21,Customer Visit,4.4,12.66,2,Uber Credit,Premium,Round-Trip,2021-12-19,2021,December,Sunday,19
Business,East Ianhaven,East Ianhaven,7.8,Meal/Entertain,4.9,41.82,1,Uber Credit,SUV,Round-Trip,2021-06-21,2021,June,Monday,21
Personal,Barronborough,Barronborough,10.39,Commute,4.8,25.0,1,Cash,Premium,Round-Trip,2023-06-27,2023,June,Tuesday,27
Business,Watkinston,Andrewchester,25.57,Commute,3.7,24.86,2,Cash,Premium,One-Way,2023-06-12,2023,June,Monday,12
Business,Lake David,Lake David,18.44,Meeting,5.2,20.08,1,Card,SUV,Round-Trip,2023-05-14,2023,May,Sunday,14
Business,West Briannabury,West Briannabury,-2.63,Customer Visit,,27.33,4,Cash,Premium,Round-Trip,2021-12-13,2021,December,Monday,13
Personal,South Makaylatown,South Makaylatown,18.24,Commute,4.2,37.38,2,Cash,SUV,Round-Trip,2020-07-23,2020,July,Thursday,23
Personal,East Russell,East Russell,11.15,Errand/Supplies,4.7,11.99,1,Card,SUV,Round-Trip,2024-03-02,2024,March,Saturday,2
Personal,Cassandramouth,New Eric,8.23,Commute,4.7,15.13,2,Card,Economy,One-Way,2024-07-07,2024,July,Sunday,7
Personal,Calhounfurt,Calhounfurt,21.12,Meeting,4.6,20.44,3,Cash,Economy,Round-Trip,2022-01-17,2022,January,Monday,17
Business,Lake Paulville,Clarkview,25.31,Commute,4.2,4.81,2,Uber Credit,Premium,One-Way,2023-05-23,2023,May,Tuesday,23
Personal,Carrieville,West Daniel,24.31,Meal/Entertain,4.2,12.71,2,Card,Economy,One-Way,2022-03-24,2022,March,Thursday,24
Personal,Nathanielhaven,Nathanielhaven,6.61,Customer Visit,4.5,17.86,3,Cash,Premium,Round-Trip,2022-03-31,2022,March,Thursday,31
Business,Brittanyview,Brittanyview,11.91,Meeting,5.1,38.12,4,Cash,SUV,Round-Trip,2022-05-25,2022,May,Wednesday,25
Personal,Hillchester,Hillchester,18.31,Meeting,4.8,28.94,1,Card,Economy,Round-Trip,2021-09-29,2021,September,Wednesday,29
Business,Lake Carolhaven,Lake Carolhaven,24.76,Customer Visit,4.3,27.9,3,Uber Credit,SUV,Round-Trip,2020-08-12,2020,August,Wednesday,12
Business,Nunezshire,,10.21,Customer Visit,4.9,37.76,2,Uber Credit,Economy,Unknown,2024-04-19,2024,April,Friday,19
Business,Lindsayside,Lindsayside,13.14,Customer Visit,3.1,22.94,1,Cash,Economy,Round-Trip,2020-04-22,2020,April,Wednesday,22
Business,Jessicachester,Jessicachester,3.94,Meeting,5.1,30.86,3,Card,Economy,Round-Trip,2022-01-08,2022,January,Saturday,8
Personal,West Marymouth,West Marymouth,3.04,Customer Visit,3.6,23.45,1,Card,SUV,Round-Trip,2021-07-01,2021,July,Thursday,1
Personal,New Tony,Cordovaport,23.13,Customer Visit,,28.98,1,Card,Premium,One-Way,2023-11-21,2023,November,Tuesday,21
Personal,Simsburgh,Simsburgh,28.56,Meeting,3.9,16.26,3,Uber Credit,Economy,Round-Trip,2022-09-28,2022,September,Wednesday,28
Business,East Jonathanberg,East Jonathanberg,14.28,Meeting,3.9,11.58,1,Uber Credit,SUV,Round-Trip,2021-01-10,2021,January,Sunday,10
Personal,Julieport,Julieport,25.04,Meal/Entertain,5.1,22.99,4,Uber Credit,Premium,Round-Trip,2023-02-21,2023,February,Tuesday,21
Business,West Spencerburgh,West Spencerburgh,186.2,Commute,4.3,46.34,3,Card,Premium,Round-Trip,2022-05-08,2022,May,Sunday,8
Business,Lake Caitlin,Lake Caitlin,8.55,Errand/Supplies,4.7,38.89,4,Cash,Economy,Round-Trip,2020-09-13,2020,September,Sunday,13
Business,Holmesside,South Bethany,18.61,Meeting,4.5,39.48,2,Uber Credit,SUV,One-Way,2024-05-12,2024,May,Sunday,12
Personal,North Williamfurt,Jessicaborough,30.38,,4.7,43.54,1,Card,SUV,One-Way,2020-05-14,2020,May,Thursday,14
Personal,Roweland,Roweland,14.64,Meal/Entertain,4.5,26.33,2,Card,Premium,Round-Trip,2024-05-07,2024,May,Tuesday,7
Personal,Janetport,Janetport,30.65,Commute,3.9,27.96,2,Cash,SUV,Round-Trip,2021-04-26,2021,April,Monday,26
Business,West Jennifermouth,West Jennifermouth,-11.2,Commute,5.0,15.74,1,Cash,Premium,Round-Trip,2020-06-14,2020,June,Sunday,14
Business,New Alexander,North Christian,23.22,Commute,4.3,20.26,3,Card,Premium,One-Way,2022-05-04,2022,May,Wednesday,4
Personal,Seanburgh,West Tyler,15.87,Meal/Entertain,3.7,34.24,1,Cash,Premium,One-Way,2023-09-10,2023,September,Sunday,10
Business,Chaseport,Dillonborough,12.01,Customer Visit,4.3,43.06,2,Uber Credit,Economy,One-Way,2023-11-03,2023,November,Friday,3
Personal,Mirandaland,Port Jasonland,15.92,Commute,5.3,229.1,2,Card,SUV,One-Way,2024-06-17,2024,June,Monday,17
Personal,Mendozabury,Mendozabury,-4.88,Commute,4.9,18.25,3,Uber Credit,Economy,Round-Trip,2022-03-03,2022,March,Thursday,3
Personal,Colemanport,Colemanport,12.8,Meal/Entertain,4.3,25.01,1,Card,Premium,Round-Trip,2023-06-21,2023,June,Wednesday,21
Business,Maryfurt,Maryfurt,18.57,Customer Visit,4.3,34.02,2,Uber Credit,SUV,Round-Trip,2022-04-18,2022,April,Monday,18
Personal,Juliabury,Juliabury,29.78,Commute,,3.34,4,Cash,SUV,Round-Trip,2021-08-14,2021,August,Saturday,14
Business,North Scott,North Scott,9.82,Commute,5.5,9.44,2,Cash,Premium,Round-Trip,2021-07-11,2021,July,Sunday,11
Business,Lake Danielleport,Lake Danielleport,6.92,Customer Visit,4.7,16.74,2,Uber Credit,SUV,Round-Trip,2021-11-27,2021,November,Saturday,27
Personal,North Dustin,North Dustin,9.98,Meeting,4.7,6.69,3,Card,Premium,Round-Trip,2021-05-09,2021,May,Sunday,9
Personal,North Zachary,Farmermouth,24.15,Meeting,5.0,17.38,4,Card,Premium,One-Way,2023-10-25,2023,October,Wednesday,25
Personal,West James,West James,18.29,Commute,4.6,22.78,2,Uber Credit,Premium,Round-Trip,2024-06-09,2024,June,Sunday,9
Personal,Tiffanychester,Tiffanychester,9.7,Errand/Supplies,4.4,18.2,2,Uber Credit,Premium,Round-Trip,2021-07-17,2021,July,Saturday,17
Business,East Robertbury,East Robertbury,20.13,Customer Visit,4.4,46.79,4,Cash,SUV,Round-Trip,2024-01-28,2024,January,Sunday,28
Business,Adamton,East Dawnbury,15.97,Customer Visit,4.5,29.9,1,Cash,Economy,One-Way,2024-12-01,2024,December,Sunday,1
Personal,New Samuel,New Samuel,24.69,Errand/Supplies,4.5,29.51,1,Uber Credit,SUV,Round-Trip,2022-02-19,2022,February,Saturday,19
Business,North Audreyside,East Jessicaland,7.98,Customer Visit,4.9,34.33,2,Uber Credit,Economy,One-Way,2022-01-08,2022,January,Saturday,8
Business,Fisherfort,,11.72,Meal/Entertain,4.5,7.92,2,Card,SUV,Unknown,2020-05-20,2020,May,Wednesday,20
Business,Amandamouth,Amandamouth,11.08,Customer Visit,4.9,40.59,1,Card,Premium,Round-Trip,2024-01-14,2024,January,Sunday,14
Business,New Emilymouth,New Emilymouth,0.36,Customer Visit,4.5,23.86,3,Uber Credit,SUV,Round-Trip,2022-07-02,2022,July,Saturday,2
Business,South Craigchester,South Craigchester,179.60000000000002,Customer Visit,4.5,35.06,4,Card,SUV,Round-Trip,2020-01-15,2020,January,Wednesday,15
Personal,Kellyhaven,Kellyhaven,17.61,Meeting,3.5,8.92,4,Cash,SUV,Round-Trip,2020-09-15,2020,September,Tuesday,15
Business,North Kristina,North Kristina,15.05,Meal/Entertain,5.0,1.69,3,Card,Premium,Round-Trip,2020-09-26,2020,September,Saturday,26
Personal,New Lauren,New Lauren,126.5,Customer Visit,4.7,37.27,3,Uber Credit,Economy,Round-Trip,2020-11-12,2020,November,Thursday,12
Personal,Kennethhaven,Kennethhaven,0.85,Meal/Entertain,5.0,30.65,3,Cash,SUV,Round-Trip,2020-09-04,2020,September,Friday,4
Personal,Willisview,Willisview,10.79,,3.1,114.7,3,Cash,Premium,Round-Trip,2024-04-30,2024,April,Tuesday,30
Personal,Port Kristi,Markmouth,11.57,Meal/Entertain,5.5,11.96,3,Cash,Economy,One-Way,2021-08-29,2021,August,Sunday,29
Business,North Deborah,North Deborah,6.98,Errand/Supplies,,41.88,3,Card,Premium,Round-Trip,2024-12-27,2024,December,Friday,27
Business,West Roberthaven,West Roberthaven,13.39,Customer Visit,5.1,7.16,4,Card,Economy,Round-Trip,2022-09-15,2022,September,Thursday,15
Personal,South Dennis,South Dennis,19.04,Meeting,4.0,49.64,3,Cash,Premium,Round-Trip,2021-09-04,2021,September,Saturday,4
Personal,Johnchester,Johnchester,33.86,Meeting,4.8,11.49,1,Cash,Premium,Round-Trip,2020-09-25,2020,September,Friday,25
Business,Gonzalezhaven,Gonzalezhaven,16.75,Meeting,4.0,34.58,3,Card,Premium,Round-Trip,2025-01-06,2025,January,Monday,6
Personal,Aprilville,Aprilville,17.58,Meeting,4.2,20.07,3,Card,Premium,Round-Trip,2022-12-10,2022,December,Saturday,10
Personal,Robinsonmouth,Robinsonmouth,14.26,Customer Visit,5.5,34.05,4,Cash,Premium,Round-Trip,2020-02-22,2020,February,Saturday,22
Business,Moralesport,Rhondaton,-4.19,Meeting,4.4,16.84,4,Card,SUV,One-Way,2024-09-13,2024,September,Friday,13
Personal,Warrenmouth,Warrenmouth,14.73,Meal/Entertain,4.6,22.56,3,Card,SUV,Round-Trip,2023-05-13,2023,May,Saturday,13
Business,North Amberborough,North Amberborough,15.6,Errand/Supplies,4.9,25.61,4,Card,Economy,Round-Trip,2020-05-30,2020,May,Saturday,30
Personal,Alexanderside,Michaelfort,39.63,Commute,4.7,9.97,2,Card,SUV,One-Way,2021-05-21,2021,May,Friday,21
Business,East Jimmyton,East Jimmyton,13.08,Meeting,,36.11,4,Uber Credit,Premium,Round-Trip,2021-11-01,2021,November,Monday,1
Business,Davenportmouth,Davenportmouth,18.02,Commute,4.7,17.3,4,Uber Credit,Premium,Round-Trip,2020-10-15,2020,October,Thursday,15
Personal,Lake Alexischester,Lake Alexischester,14.65,Commute,5.7,21.57,4,Uber Credit,SUV,Round-Trip,2023-08-04,2023,August,Friday,4
Business,Lake Caitlin,East Richard,3.31,Commute,4.5,10.08,4,Cash,Economy,One-Way,2023-03-27,2023,March,Monday,27
Business,North Dawntown,South Staceyville,264.3,Meal/Entertain,4.6,13.44,1,Card,Economy,One-Way,2021-06-11,2021,June,Friday,11
Personal,Port Dannybury,Robertstad,22.52,Meeting,5.0,22.13,1,Uber Credit,Economy,One-Way,2025-01-21,2025,January,Tuesday,21
Business,Michaelland,Michaelland,22.91,Customer Visit,5.1,61.19,1,Card,SUV,Round-Trip,2025-01-27,2025,January,Monday,27
Business,Meganstad,Meganstad,5.91,Meal/Entertain,5.1,36.77,3,Uber Credit,Premium,Round-Trip,2021-09-16,2021,September,Thursday,16
Personal,Lake Ericamouth,Lake Ericamouth,29.03,Customer Visit,4.8,24.71,3,Cash,Economy,Round-Trip,2023-04-28,2023,April,Friday,28
Personal,New Jaredfort,New Jaredfort,9.8,Meeting,3.9,21.06,2,Cash,Economy,Round-Trip,2024-07-14,2024,July,Sunday,14
Business,Jacobview,,20.87,Meal/Entertain,5.3,25.34,1,Uber Credit,Economy,Unknown,2024-12-27,2024,December,Friday,27
Business,Port Kimberly,Port Kimberly,36.9,Commute,3.9,33.21,3,Cash,Premium,Round-Trip,2023-12-08,2023,December,Friday,8
Personal,South Moniquemouth,South Moniquemouth,5.09,Meal/Entertain,4.7,7.29,4,Card,Premium,Round-Trip,2020-07-30,2020,July,Thursday,30
Personal,New Barbara,New Barbara,9.34,Meal/Entertain,4.1,41.71,4,Card,Economy,Round-Trip,2020-12-22,2020,December,Tuesday,22
Business,East Christopher,East Christopher,16.0,Meeting,4.5,35.73,1,Cash,Premium,Round-Trip,2024-01-03,2024,January,Wednesday,3
Business,North Markborough,North Markborough,9.97,Commute,4.7,357.70000000000005,2,Card,Economy,Round-Trip,2022-02-07,2022,February,Monday,7
Business,Port Kristi,Port Kristi,-0.51,Commute,4.7,31.58,2,Uber Credit,SUV,Round-Trip,2025-03-17,2025,March,Monday,17
Business,Royville,Royville,15.69,Errand/Supplies,4.7,25.29,4,Uber Credit,Economy,Round-Trip,2021-12-22,2021,December,Wednesday,22
Business,Ericshire,Ericshire,4.38,,5.3,35.09,2,Uber Credit,SUV,Round-Trip,2025-02-15,2025,February,Saturday,15
Personal,Mortonberg,Mortonberg,19.74,Customer Visit,4.7,33.88,1,Card,Premium,Round-Trip,2024-01-21,2024,January,Sunday,21
Business,Lake Ashley,Lake Ashley,5.81,Errand/Supplies,4.4,19.69,4,Uber Credit,Economy,Round-Trip,2021-05-24,2021,May,Monday,24
Business,Pricechester,Pricechester,30.5,Meeting,5.0,16.4,3,Cash,Premium,Round-Trip,2022-01-21,2022,January,Friday,21
Business,Natalieland,Natalieland,7.17,Meal/Entertain,5.1,26.53,3,Uber Credit,Economy,Round-Trip,2023-11-12,2023,November,Sunday,12
Personal,West Carol,West Carol,11.78,,3.9,48.24,2,Card,SUV,Round-Trip,2022-01-29,2022,January,Saturday,29
Business,South Brianberg,East Joshua,23.14,,4.8,6.41,4,Card,Premium,One-Way,2022-10-24,2022,October,Monday,24
Personal,West Candiceberg,West Candiceberg,2.69,Meeting,4.9,2.99,4,Uber Credit,Premium,Round-Trip,2025-03-18,2025,March,Tuesday,18
Personal,North Jacqueline,North Jacqueline,17.27,Meal/Entertain,4.4,27.47,3,Cash,Economy,Round-Trip,2021-02-23,2021,February,Tuesday,23
Business,Vegaburgh,Vegaburgh,28.07,Commute,5.2,25.76,4,Cash,Premium,Round-Trip,2023-09-03,2023,September,Sunday,3
Business,Owenburgh,Owenburgh,-1.07,Errand/Supplies,4.4,27.6,4,Cash,SUV,Round-Trip,2022-08-13,2022,August,Saturday,13
Personal,North Crystalside,North Crystalside,16.85,Customer Visit,4.6,28.66,4,Card,SUV,Round-Trip,2023-12-23,2023,December,Saturday,23
Personal,Robertston,Robertston,17.6,Commute,4.4,21.65,2,Cash,Economy,Round-Trip,2021-03-28,2021,March,Sunday,28
Personal,West Philipstad,West Philipstad,22.82,Commute,4.5,47.35,4,Card,Economy,Round-Trip,2020-06-21,2020,June,Sunday,21
Personal,Rebeccashire,North Danielport,2.63,Commute,4.0,0.99,1,Uber Credit,Premium,One-Way,2022-02-05,2022,February,Saturday,5
Personal,New Jeremiahberg,New Jeremiahberg,1.8,Commute,3.8,12.57,2,Uber Credit,SUV,Round-Trip,2024-05-28,2024,May,Tuesday,28
Business,Evansview,Evansview,20.22,Meeting,5.3,23.45,4,Card,Premium,Round-Trip,2024-09-23,2024,September,Monday,23
Business,Garciaburgh,Garciaburgh,17.97,Commute,4.1,0.35,4,Card,SUV,Round-Trip,2024-07-12,2024,July,Friday,12
Business,South Vickie,South Vickie,17.5,Meal/Entertain,4.0,22.36,1,Uber Credit,SUV,Round-Trip,2021-09-26,2021,September,Sunday,26
Business,New Anthonyfurt,New Anthonyfurt,18.46,Meeting,3.4,49.92,2,Uber Credit,Economy,Round-Trip,2021-02-26,2021,February,Friday,26
Personal,Paulshire,Paulshire,8.2,Errand/Supplies,4.2,25.31,3,Card,Premium,Round-Trip,2020-04-28,2020,April,Tuesday,28
Business,Marshallland,Marshallland,17.32,Meal/Entertain,3.8,28.46,3,Uber Credit,SUV,Round-Trip,2020-07-12,2020,July,Sunday,12
Business,East Shirley,East Shirley,17.93,Meal/Entertain,5.3,6.1,2,Uber Credit,Economy,Round-Trip,2020-06-05,2020,June,Friday,5
Business,North Melissaton,North Melissaton,7.86,,5.0,15.75,4,Cash,SUV,Round-Trip,2023-03-05,2023,March,Sunday,5
Business,Lake Christopherport,Proctorport,33.66,Meal/Entertain,4.2,19.37,4,Cash,Economy,One-Way,2020-03-08,2020,March,Sunday,8
Business,Alyssaport,Alyssaport,19.74,Meeting,5.6,20.23,3,Uber Credit,Economy,Round-Trip,2024-05-20,2024,May,Monday,20
Business,Lake Patricia,,3.09,Errand/Supplies,5.0,44.22,3,Uber Credit,Economy,Unknown,2023-03-05,2023,March,Sunday,5
Business,New Dawnmouth,,21.57,Errand/Supplies,4.3,33.37,3,Cash,Premium,Unknown,2021-05-17,2021,May,Monday,17
Business,Marshallland,Marshallland,5.25,Commute,3.3,8.33,1,Uber Credit,Economy,Round-Trip,2021-11-26,2021,November,Friday,26
Business,Bowmanberg,Bowmanberg,22.87,Customer Visit,5.6,287.0,3,Card,Economy,Round-Trip,2020-09-20,2020,September,Sunday,20
Personal,Nathanfort,Nathanfort,26.59,Meeting,3.8,32.47,1,Uber Credit,SUV,Round-Trip,2020-09-26,2020,September,Saturday,26
Business,East Shannon,,6.79,Errand/Supplies,3.7,42.1,2,Uber Credit,Economy,Unknown,2020-11-01,2020,November,Sunday,1
Business,Port Rachelville,Port Rachelville,24.63,Meeting,5.0,48.71,4,Card,SUV,Round-Trip,2022-08-28,2022,August,Sunday,28
Personal,South Makaylatown,South Makaylatown,19.13,Meeting,5.7,9.77,3,Cash,SUV,Round-Trip,2024-11-24,2024,November,Sunday,24
Personal,Gordonfurt,Port Adamtown,23.22,Commute,5.2,12.84,4,Uber Credit,Premium,One-Way,2020-07-10,2020,July,Friday,10
Business,Irwinshire,Irwinshire,33.97,Errand/Supplies,4.8,6.14,4,Cash,Economy,Round-Trip,2021-06-28,2021,June,Monday,28
Business,South Melinda,South Melinda,12.55,Customer Visit,4.8,21.49,3,Cash,Economy,Round-Trip,2024-02-25,2024,February,Sunday,25
Personal,Saramouth,West Kevinville,7.46,Customer Visit,4.9,32.0,3,Uber Credit,SUV,One-Way,2023-09-20,2023,September,Wednesday,20
Business,Jenkinsview,Lake Michaelshire,6.1,Customer Visit,4.9,39.81,2,Uber Credit,Premium,One-Way,2024-10-07,2024,October,Monday,7
Personal,Loriberg,Loriberg,6.84,Meal/Entertain,4.6,23.86,1,Cash,Economy,Round-Trip,2021-10-18,2021,October,Monday,18
Personal,Codyburgh,Codyburgh,14.23,Errand/Supplies,4.6,20.2,1,Uber Credit,Premium,Round-Trip,2022-09-13,2022,September,Tuesday,13
Business,Georgemouth,East Jonathanberg,18.41,Meal/Entertain,4.5,27.28,4,Uber Credit,SUV,One-Way,2020-03-11,2020,March,Wednesday,11
Business,Davidchester,Davidchester,17.77,Meal/Entertain,4.1,12.47,3,Cash,Economy,Round-Trip,2021-01-26,2021,January,Tuesday,26
Business,East Maria,East Maria,23.27,Meal/Entertain,4.4,56.34,2,Cash,Premium,Round-Trip,2020-08-15,2020,August,Saturday,15
Personal,North Andrewville,,15.13,Commute,3.7,0.89,2,Card,Economy,Unknown,2020-09-26,2020,September,Saturday,26
Personal,Nathanielhaven,North Saratown,29.54,Commute,4.5,27.77,2,Uber Credit,Economy,One-Way,2020-09-28,2020,September,Monday,28
Personal,Novakland,Novakland,12.35,Meeting,4.0,55.35,2,Card,Premium,Round-Trip,2025-03-15,2025,March,Saturday,15
Personal,North Jasonview,North Jasonview,42.2,Meeting,3.9,25.1,2,Cash,Economy,Round-Trip,2024-03-26,2024,March,Tuesday,26
Personal,Evansview,Fisherfort,21.26,Errand/Supplies,4.6,22.15,1,Uber Credit,SUV,One-Way,2021-03-25,2021,March,Thursday,25
Business,Port Heidi,Port Heidi,6.43,Errand/Supplies,5.2,19.64,1,Cash,Economy,Round-Trip,2022-04-17,2022,April,Sunday,17
Business,Hillchester,Hillchester,4.29,Commute,5.0,22.29,1,Uber Credit,Economy,Round-Trip,2024-11-21,2024,November,Thursday,21
Business,West Mercedes,,19.82,Meeting,3.7,45.59,3,Uber Credit,Premium,Unknown,2023-08-29,2023,August,Tuesday,29
Personal,Jacquelineport,Jacquelineport,12.77,Meeting,4.0,8.18,4,Card,Premium,Round-Trip,2023-12-23,2023,December,Saturday,23
Personal,Joshuamouth,Joshuamouth,22.14,Meal/Entertain,5.0,48.0,2,Cash,Premium,Round-Trip,2023-11-24,2023,November,Friday,24
Business,Rayport,Rayport,19.73,Customer Visit,,3.64,3,Uber Credit,Economy,Round-Trip,2023-04-19,2023,April,Wednesday,19
Business,Mooreside,Mooreside,14.27,Customer Visit,4.4,21.0,2,Card,Premium,Round-Trip,2024-01-29,2024,January,Monday,29
Business,North Annaborough,North Annaborough,6.53,Customer Visit,4.8,18.56,1,Cash,Economy,Round-Trip,2023-06-20,2023,June,Tuesday,20
Business,Lindafort,Lindafort,-0.15,Commute,,33.83,3,Card,SUV,Round-Trip,2020-11-21,2020,November,Saturday,21
Personal,Millermouth,Millermouth,10.53,Customer Visit,4.6,1.03,1,Cash,SUV,Round-Trip,2022-12-25,2022,December,Sunday,25
