,CATEGORY,START,STOP,MILES,PURPOSE,DRIVER_RATING,FARE_AMOUNT,PASSENGER_COUNT,PAYMENT_METHOD,CAR_TYPE,TRIP_TYPE,TRIP_DATE,YEAR,MONTH_NAME,DAY_OF_WEEK_NAME,DAY_OF_MONTH
87,Personal,West James,West James,18.29,Commute,4.6,22.78,2,Uber Credit,Premium,Round-Trip,2024-06-09,2024,June,Sunday,9
88,Personal,Tiffanychester,Tiffanychester,9.7,Errand/Supplies,4.4,18.2,2,Uber Credit,Premium,Round-Trip,2021-07-17,2021,July,Saturday,17
89,Business,East Robertbury,East Robertbury,20.13,Customer Visit,4.4,46.79,4,Cash,SUV,Round-Trip,2024-01-28,2024,January,Sunday,28
90,Business,Adamton,East Dawnbury,15.97,Customer Visit,4.5,29.9,1,Cash,Economy,One-Way,2024-12-01,2024,December,Sunday,1
91,Personal,New Samuel,New Samuel,24.69,Errand/Supplies,4.5,29.51,1,Uber Credit,SUV,Round-Trip,2022-02-19,2022,February,Saturday,19
92,Business,North Audreyside,East Jessicaland,7.98,Customer Visit,4.9,34.33,2,Uber Credit,Economy,One-Way,2022-01-08,2022,January,Saturday,8
93,Business,Fisherfort,UNKOWN,11.72,Meal/Entertain,4.5,7.92,2,Card,SUV,Unknown,2020-05-20,2020,May,Wednesday,20
94,Business,Amandamouth,Amandamouth,11.08,Customer Visit,4.9,40.59,1,Card,Premium,Round-Trip,2024-01-14,2024,January,Sunday,14
95,Business,New Emilymouth,New Emilymouth,0.36,Customer Visit,4.5,23.86,3,Uber Credit,SUV,Round-Trip,2022-07-02,2022,July,Saturday,2
96,Business,South Craigchester,South Craigchester,179.60000000000002,Customer Visit,4.5,35.06,4,Card,SUV,Round-Trip,2020-01-15,2020,January,Wednesday,15
97,Personal,Kellyhaven,Kellyhaven,17.61,Meeting,3.5,8.92,4,Cash,SUV,Round-Trip,2020-09-15,2020,September,Tuesday,15
98,Business,North Kristina,North Kristina,15.05,Meal/Entertain,5.0,1.69,3,Card,Premium,Round-Trip,2020-09-26,2020,September,Saturday,26
99,Personal,New Lauren,New Lauren,126.5,Customer Visit,4.7,37.27,3,Uber Credit,Economy,Round-Trip,2020-11-12,2020,November,Thursday,12
100,Personal,Kennethhaven,Kennethhaven,0.85,Meal/Entertain,5.0,30.65,3,Cash,SUV,Round-Trip,2020-09-04,2020,September,Friday,4
102,Personal,Port Kristi,Markmouth,11.57,Meal/Entertain,5.5,11.96,3,Cash,Economy,One-Way,2021-08-29,2021,August,Sunday,29
104,Business,West Roberthaven,West Roberthaven,13.39,Customer Visit,5.1,7.16,4,Card,Economy,Round-Trip,2022-09-15,2022,September,Thursday,15
105,Personal,South Dennis,South Dennis,19.04,Meeting,4.0,49.64,3,Cash,Premium,Round-Trip,2021-09-04,2021,September,Saturday,4
106,Personal,Johnchester,Johnchester,33.86,Meeting,4.8,11.49,1,Cash,Premium,Round-Trip,2020-09-25,2020,September,Friday,25
107,Business,Gonzalezhaven,Gonzalezhaven,16.75,Meeting,4.0,34.58,3,Card,Premium,Round-Trip,2025-01-06,2025,January,Monday,6
108,Personal,Aprilville,Aprilville,17.58,Meeting,4.2,20.07,3,Card,Premium,Round-Trip,2022-12-10,2022,December,Saturday,10
109,Personal,Robinsonmouth,Robinsonmouth,14.26,Customer Visit,5.5,34.05,4,Cash,Premium,Round-Trip,2020-02-22,2020,February,Saturday,22
110,Business,Moralesport,Rhondaton,-4.19,Meeting,4.4,16.84,4,Card,SUV,One-Way,2024-09-13,2024,September,Friday,13
111,Personal,Warrenmouth,Warrenmouth,14.73,Meal/Entertain,4.6,22.56,3,Card,SUV,Round-Trip,2023-05-13,2023,May,Saturday,13
112,Business,North Amberborough,North Amberborough,15.6,Errand/Supplies,4.9,25.61,4,Card,Economy,Round-Trip,2020-05-30,2020,May,Saturday,30
113,Personal,Alexanderside,Michaelfort,39.63,Commute,4.7,9.97,2,Card,SUV,One-Way,2021-05-21,2021,May,Friday,21
115,Business,Davenportmouth,Davenportmouth,18.02,Commute,4.7,17.3,4,Uber Credit,Premium,Round-Trip,2020-10-15,2020,October,Thursday,15
116,Personal,Lake Alexischester,Lake Alexischester,14.65,Commute,5.7,21.57,4,Uber Credit,SUV,Round-Trip,2023-08-04,2023,August,Friday,4
117,Business,Lake Caitlin,East Richard,3.31,Commute,4.5,10.08,4,Cash,Economy,One-Way,2023-03-27,2023,March,Monday,27
118,Business,North Dawntown,South Staceyville,264.3,Meal/Entertain,4.6,13.44,1,Card,Economy,One-Way,2021-06-11,2021,June,Friday,11
119,Personal,Port Dannybury,Robertstad,22.52,Meeting,5.0,22.13,1,Uber Credit,Economy,One-Way,2025-01-21,2025,January,Tuesday,21
120,Business,Michaelland,Michaelland,22.91,Customer Visit,5.1,61.19,1,Card,SUV,Round-Trip,2025-01-27,2025,January,Monday,27
121,Business,Meganstad,Meganstad,5.91,Meal/Entertain,5.1,36.77,3,Uber Credit,Premium,Round-Trip,2021-09-16,2021,September,Thursday,16
122,Personal,Lake Ericamouth,Lake Ericamouth,29.03,Customer Visit,4.8,24.71,3,Cash,Economy,Round-Trip,2023-04-28,2023,April,Friday,28
123,Personal,New Jaredfort,New Jaredfort,9.8,Meeting,3.9,21.06,2,Cash,Economy,Round-Trip,2024-07-14,2024,July,Sunday,14
124,Business,Jacobview,UNKOWN,20.87,Meal/Entertain,5.3,25.34,1,Uber Credit,Economy,Unknown,2024-12-27,2024,December,Friday,27
125,Business,Port Kimberly,Port Kimberly,36.9,Commute,3.9,33.21,3,Cash,Premium,Round-Trip,2023-12-08,2023,December,Friday,8
126,Personal,South Moniquemouth,South Moniquemouth,5.09,Meal/Entertain,4.7,7.29,4,Card,Premium,Round-Trip,2020-07-30,2020,July,Thursday,30
127,Personal,New Barbara,New Barbara,9.34,Meal/Entertain,4.1,41.71,4,Card,Economy,Round-Trip,2020-12-22,2020,December,Tuesday,22
128,Business,East Christopher,East Christopher,16.0,Meeting,4.5,35.73,1,Cash,Premium,Round-Trip,2024-01-03,2024,January,Wednesday,3
129,Business,North Markborough,North Markborough,9.97,Commute,4.7,357.70000000000005,2,Card,Economy,Round-Trip,2022-02-07,2022,February,Monday,7
130,Business,Port Kristi,Port Kristi,-0.51,Commute,4.7,31.58,2,Uber Credit,SUV,Round-Trip,2025-03-17,2025,March,Monday,17
131,Business,Royville,Royville,15.69,Errand/Supplies,4.7,25.29,4,Uber Credit,Economy,Round-Trip,2021-12-22,2021,December,Wednesday,22
132,Business,Ericshire,Ericshire,4.38,UNKOWN,5.3,35.09,2,Uber Credit,SUV,Round-Trip,2025-02-15,2025,February,Saturday,15
133,Personal,Mortonberg,Mortonberg,19.74,Customer Visit,4.7,33.88,1,Card,Premium,Round-Trip,2024-01-21,2024,January,Sunday,21
134,Business,Lake Ashley,Lake Ashley,5.81,Errand/Supplies,4.4,19.69,4,Uber Credit,Economy,Round-Trip,2021-05-24,2021,May,Monday,24
135,Business,Pricechester,Pricechester,30.5,Meeting,5.0,16.4,3,Cash,Premium,Round-Trip,2022-01-21,2022,January,Friday,21
136,Business,Natalieland,Natalieland,7.17,Meal/Entertain,5.1,26.53,3,Uber Credit,Economy,Round-Trip,2023-11-12,2023,November,Sunday,12
137,Personal,West Carol,West Carol,11.78,UNKOWN,3.9,48.24,2,Card,SUV,Round-Trip,2022-01-29,2022,January,Saturday,29
138,Business,South Brianberg,East Joshua,23.14,UNKOWN,4.8,6.41,4,Card,Premium,One-Way,2022-10-24,2022,October,Monday,24
139,Personal,West Candiceberg,West Candiceberg,2.69,Meeting,4.9,2.99,4,Uber Credit,Premium,Round-Trip,2025-03-18,2025,March,Tuesday,18
140,Personal,North Jacqueline,North Jacqueline,17.27,Meal/Entertain,4.4,27.47,3,Cash,Economy,Round-Trip,2021-02-23,2021,February,Tuesday,23
141,Business,Vegaburgh,Vegaburgh,28.07,Commute,5.2,25.76,4,Cash,Premium,Round-Trip,2023-09-03,2023,September,Sunday,3
142,Business,Owenburgh,Owenburgh,-1.07,Errand/Supplies,4.4,27.6,4,Cash,SUV,Round-Trip,2022-08-13,2022,August,Saturday,13
143,Personal,North Crystalside,North Crystalside,16.85,Customer Visit,4.6,28.66,4,Card,SUV,Round-Trip,2023-12-23,2023,December,Saturday,23
144,Personal,Robertston,Robertston,17.6,Commute,4.4,21.65,2,Cash,Economy,Round-Trip,2021-03-28,2021,March,Sunday,28
145,Personal,West Philipstad,West Philipstad,22.82,Commute,4.5,47.35,4,Card,Economy,Round-Trip,2020-06-21,2020,June,Sunday,21
146,Personal,Rebeccashire,North Danielport,2.63,Commute,4.0,0.99,1,Uber Credit,Premium,One-Way,2022-02-05,2022,February,Saturday,5
147,Personal,New Jeremiahberg,New Jeremiahberg,1.8,Commute,3.8,12.57,2,Uber Credit,SUV,Round-Trip,2024-05-28,2024,May,Tuesday,28
148,Business,Evansview,Evansview,20.22,Meeting,5.3,23.45,4,Card,Premium,Round-Trip,2024-09-23,2024,September,Monday,23
149,Business,Garciaburgh,Garciaburgh,17.97,Commute,4.1,0.35,4,Card,SUV,Round-Trip,2024-07-12,2024,July,Friday,12
150,Business,South Vickie,South Vickie,17.5,Meal/Entertain,4.0,22.36,1,Uber Credit,SUV,Round-Trip,2021-09-26,2021,September,Sunday,26
151,Business,New Anthonyfurt,New Anthonyfurt,18.46,Meeting,3.4,49.92,2,Uber Credit,Economy,Round-Trip,2021-02-26,2021,February,Friday,26
152,Personal,Paulshire,Paulshire,8.2,Errand/Supplies,4.2,25.31,3,Card,Premium,Round-Trip,2020-04-28,2020,April,Tuesday,28
153,Business,Marshallland,Marshallland,17.32,Meal/Entertain,3.8,28.46,3,Uber Credit,SUV,Round-Trip,2020-07-12,2020,July,Sunday,12
154,Business,East Shirley,East Shirley,17.93,Meal/Entertain,5.3,6.1,2,Uber Credit,Economy,Round-Trip,2020-06-05,2020,June,Friday,5
155,Business,North Melissaton,North Melissaton,7.86,UNKOWN,5.0,15.75,4,Cash,SUV,Round-Trip,2023-03-05,2023,March,Sunday,5
156,Business,Lake Christopherport,Proctorport,33.66,Meal/Entertain,4.2,19.37,4,Cash,Economy,One-Way,2020-03-08,2020,March,Sunday,8
157,Business,Alyssaport,Alyssaport,19.74,Meeting,5.6,20.23,3,Uber Credit,Economy,Round-Trip,2024-05-20,2024,May,Monday,20
158,Business,Lake Patricia,UNKOWN,3.09,Errand/Supplies,5.0,44.22,3,Uber Credit,Economy,Unknown,2023-03-05,2023,March,Sunday,5
159,Business,New Dawnmouth,UNKOWN,21.57,Errand/Supplies,4.3,33.37,3,Cash,Premium,Unknown,2021-05-17,2021,May,Monday,17
160,Business,Marshallland,Marshallland,5.25,Commute,3.3,8.33,1,Uber Credit,Economy,Round-Trip,2021-11-26,2021,November,Friday,26
161,Business,Bowmanberg,Bowmanberg,22.87,Customer Visit,5.6,287.0,3,Card,Economy,Round-Trip,2020-09-20,2020,September,Sunday,20
162,Personal,Nathanfort,Nathanfort,26.59,Meeting,3.8,32.47,1,Uber Credit,SUV,Round-Trip,2020-09-26,2020,September,Saturday,26
163,Business,East Shannon,UNKOWN,6.79,Errand/Supplies,3.7,42.1,2,Uber Credit,Economy,Unknown,2020-11-01,2020,November,Sunday,1
164,Business,Port Rachelville,Port Rachelville,24.63,Meeting,5.0,48.71,4,Card,SUV,Round-Trip,2022-08-28,2022,August,Sunday,28
165,Personal,South Makaylatown,South Makaylatown,19.13,Meeting,5.7,9.77,3,Cash,SUV,Round-Trip,2024-11-24,2024,November,Sunday,24
166,Personal,Gordonfurt,Port Adamtown,23.22,Commute,5.2,12.84,4,Uber Credit,Premium,One-Way,2020-07-10,2020,July,Friday,10
167,Business,Irwinshire,Irwinshire,33.97,Errand/Supplies,4.8,6.14,4,Cash,Economy,Round-Trip,2021-06-28,2021,June,Monday,28
168,Business,South Melinda,South Melinda,12.55,Customer Visit,4.8,21.49,3,Cash,Economy,Round-Trip,2024-02-25,2024,February,Sunday,25
169,Personal,Saramouth,West Kevinville,7.46,Customer Visit,4.9,32.0,3,Uber Credit,SUV,One-Way,2023-09-20,2023,September,Wednesday,20
170,Business,Jenkinsview,Lake Michaelshire,6.1,Customer Visit,4.9,39.81,2,Uber Credit,Premium,One-Way,2024-10-07,2024,October,Monday,7
171,Personal,Loriberg,Loriberg,6.84,Meal/Entertain,4.6,23.86,1,Cash,Economy,Round-Trip,2021-10-18,2021,October,Monday,18
172,Personal,Codyburgh,Codyburgh,14.23,Errand/Supplies,4.6,20.2,1,Uber Credit,Premium,Round-Trip,2022-09-13,2022,September,Tuesday,13
173,Business,Georgemouth,East Jonathanberg,18.41,Meal/Entertain,4.5,27.28,4,Uber Credit,SUV,One-Way,2020-03-11,2020,March,Wednesday,11
174,Business,Davidchester,Davidchester,17.77,Meal/Entertain,4.1,12.47,3,Cash,Economy,Round-Trip,2021-01-26,2021,January,Tuesday,26
175,Business,East Maria,East Maria,23.27,Meal/Entertain,4.4,56.34,2,Cash,Premium,Round-Trip,2020-08-15,2020,August,Saturday,15
176,Personal,North Andrewville,UNKOWN,15.13,Commute,3.7,0.89,2,Card,Economy,Unknown,2020-09-26,2020,September,Saturday,26
177,Personal,Nathanielhaven,North Saratown,29.54,Commute,4.5,27.77,2,Uber Credit,Economy,One-Way,2020-09-28,2020,September,Monday,28
178,Personal,Novakland,Novakland,12.35,Meeting,4.0,55.35,2,Card,Premium,Round-Trip,2025-03-15,2025,March,Saturday,15
179,Personal,North Jasonview,North Jasonview,42.2,Meeting,3.9,25.1,2,Cash,Economy,Round-Trip,2024-03-26,2024,March,Tuesday,26
180,Personal,Evansview,Fisherfort,21.26,Errand/Supplies,4.6,22.15,1,Uber Credit,SUV,One-Way,2021-03-25,2021,March,Thursday,25
181,Business,Port Heidi,Port Heidi,6.43,Errand/Supplies,5.2,19.64,1,Cash,Economy,Round-Trip,2022-04-17,2022,April,Sunday,17
182,Business,Hillchester,Hillchester,4.29,Commute,5.0,22.29,1,Uber Credit,Economy,Round-Trip,2024-11-21,2024,November,Thursday,21
183,Business,West Mercedes,UNKOWN,19.82,Meeting,3.7,45.59,3,Uber Credit,Premium,Unknown,2023-08-29,2023,August,Tuesday,29
184,Personal,Jacquelineport,Jacquelineport,12.77,Meeting,4.0,8.18,4,Card,Premium,Round-Trip,2023-12-23,2023,December,Saturday,23
185,Personal,Joshuamouth,Joshuamouth,22.14,Meal/Entertain,5.0,48.0,2,Cash,Premium,Round-Trip,2023-11-24,2023,November,Friday,24
187,Business,Mooreside,Mooreside,14.27,Customer Visit,4.4,21.0,2,Card,Premium,Round-Trip,2024-01-29,2024,January,Monday,29
188,Business,North Annaborough,North Annaborough,6.53,Customer Visit,4.8,18.56,1,Cash,Economy,Round-Trip,2023-06-20,2023,June,Tuesday,20
190,Personal,Millermouth,Millermouth,10.53,Customer Visit,4.6,1.03,1,Cash,SUV,Round-Trip,2022-12-25,2022,December,Sunday,25
191,Business,New Kristenstad,New Kristenstad,23.56,Customer Visit,3.8,31.93,2,Uber Credit,Economy,Round-Trip,2020-05-12,2020,May,Tuesday,12
192,Personal,Mirandaland,Emilyport,17.14,Meal/Entertain,4.2,55.36,2,Card,Economy,One-Way,2025-01-02,2025,January,Thursday,2
193,Business,Henryburgh,Henryburgh,2.54,Errand/Supplies,4.7,4.55,4,Card,SUV,Round-Trip,2021-06-27,2021,June,Sunday,27
194,Personal,Jasminechester,Johnborough,16.73,Commute,3.7,27.85,2,Uber Credit,SUV,One-Way,2020-02-15,2020,February,Saturday,15
195,Personal,Joshuaton,Wheelerberg,18.85,Meeting,4.7,15.07,1,Cash,Economy,One-Way,2021-06-08,2021,June,Tuesday,8
